district,locality,latitude,longitude,provice,id,zip_code,property_sub_type,property_type,price,nb_bedrooms,living_area,surface_of_the_plot,nb_facades,state_of_building,fireplace,equipped_kitchen,garden,garden_surface,terrace,terrace_surface,furnished,swimming_pool
Anvers,HOBOKEN,51.1840336,4.366389,Anvers,20499890,2660,Ground_Floor,APARTMENT,219500.0,1,73,,2,As new,0,0,1,19,0,,0,0
Saint-Nicolas,LOKEREN,51.111429,3.9856199,Flandre Orientale,20489547,9160,Apartment,APARTMENT,240000.0,2,86,,2,Good,0,0,0,,1,7,0,0
Bruxelles,Anderlecht,50.8385547,4.2924618,Bruxelles,20488989,1070,Apartment,APARTMENT,165000.0,1,55,,2,Good,0,1,0,,0,,0,0
Anvers,ANTWERPEN,51.2228268,4.400516,Anvers,20488660,2000,Apartment,APARTMENT,239000.0,1,62,,3,Good,0,1,0,,0,,0,0
Bruxelles,Anderlecht,50.8263288,4.3044351,Bruxelles,20485701,1070,Apartment,APARTMENT,240000.0,3,90,,2,As new,0,0,0,,1,10,0,0
Anvers,DEURNE,51.2032898,4.4702192,Anvers,20480153,2100,Apartment,APARTMENT,289000.0,2,116,,2,Good,0,1,0,,1,12,0,0
Anvers,WILRIJK,51.1717531,4.3829424,Anvers,20487441,2610,Apartment,APARTMENT,245000.0,2,88,,2,Good,0,0,0,,1,6,0,0
Malines,MECHELEN,51.0350994,4.4728474,Anvers,20487691,2800,Apartment,APARTMENT,261000.0,2,90,,2,Just renovated,0,1,0,,1,7,0,0
Anvers,DEURNE,51.233509,4.4652554,Anvers,20493753,2100,Apartment,APARTMENT,235000.0,3,86,,2,Good,0,0,0,,1,4,0,0
Anvers,BRASSCHAAT,51.3051244,4.4856527,Anvers,20487665,2930,Ground_Floor,APARTMENT,234000.0,2,64,,2,Good,0,1,0,,0,,0,0
Saint-Nicolas,LOKEREN,51.1052668,3.961169,Flandre Orientale,20489546,9160,Apartment,APARTMENT,249000.0,2,62,,2,Good,0,1,0,,1,3,0,0
Anvers,DEURNE,51.23087719999999,4.4807418,Anvers,20493735,2100,Apartment,APARTMENT,279000.0,2,117,,2,To be done up,0,0,0,,1,48,0,0
Anvers,Borgerhout,51.2091042,4.447694,Anvers,20497706,2140,Apartment,APARTMENT,235000.0,2,96,,2,Good,0,0,0,,1,11,0,0
Anvers,BERCHEM,51.1853172,4.4404271,Anvers,20480761,2600,Apartment,APARTMENT,195000.0,1,74,,,Good,0,1,0,,1,12,0,0
Ostende,Oostende,51.228807,2.9100909,Flandre Occidentale,20486341,8400,Apartment,APARTMENT,215000.0,2,79,,,To renovate,0,0,0,,1,4,0,0
Liège,LIÈGE,50.6268272,5.588917299999999,Liège,20484515,4020,Apartment,APARTMENT,150000.0,2,85,,2,To be done up,0,1,0,,1,10,0,0
Bruxelles,Schaerbeek,50.84620810000001,4.3991874,Bruxelles,20483956,1030,Duplex,APARTMENT,259000.0,1,62,,2,As new,0,1,0,,0,,0,0
Turnhout,VOSSELAAR,51.3071372,4.8900462,Anvers,20493800,2350,Apartment,APARTMENT,239000.0,2,136,,4,Good,0,0,0,,0,,0,0
Bruxelles,Schaerbeek,50.84620810000001,4.3991874,Bruxelles,20483956,1030,Duplex,APARTMENT,259000.0,1,62,,2,As new,0,1,0,,0,,0,0
Courtrai,Otegem,50.8083629,3.4228405,Flandre Occidentale,20488096,8553,Apartment,APARTMENT,195000.0,3,120,,,To be done up,0,0,0,,0,,0,0
Anvers,HOBOKEN,51.1850919,4.3687345,Anvers,20488284,2660,Apartment,APARTMENT,219000.0,3,85,,2,Good,0,1,0,,1,8,0,0
Anvers,BORGERHOUT,51.2200806,4.4528116,Anvers,20483115,2140,Apartment,APARTMENT,174900.0,2,80,,2,Good,0,0,0,,1,17,0,0
Anvers,BORGERHOUT,51.2200806,4.4528116,Anvers,20483115,2140,Apartment,APARTMENT,174900.0,2,80,,2,Good,0,0,0,,1,17,0,0
Anvers,WILRIJK,51.1782659,4.4271058,Anvers,20495471,2610,Ground_Floor,APARTMENT,275000.0,3,114,,,To renovate,0,0,1,26,0,,0,0
Malines,MECHELEN,50.9999455,4.4734069,Anvers,20479122,2800,Apartment,APARTMENT,299000.0,2,130,,2,Good,0,1,0,,1,13,0,0
Alost,NINOVE,50.8305519,4.0643365,Flandre Orientale,20497146,9400,Apartment,APARTMENT,299000.0,3,153,,2,Good,0,1,0,,1,6,0,0
Anvers,BERCHEM,51.18635399999999,4.4424231,Anvers,20485654,2600,Apartment,APARTMENT,219000.0,1,60,,4,Good,0,1,0,,1,14,0,0
Bruxelles,Anderlecht,50.8331641,4.2917801,Bruxelles,20485693,1070,Apartment,APARTMENT,290000.0,2,108,,2,As new,0,0,0,,0,,0,0
Anvers,BERCHEM,51.1850075,4.4430934,Anvers,20480762,2600,Apartment,APARTMENT,189000.0,1,60,,,Good,0,0,0,,1,15,0,0
Ostende,Oostende,51.22388720000001,2.9091672,Flandre Occidentale,20486465,8400,Apartment,APARTMENT,189000.0,1,75,,,Good,0,0,0,,1,2,0,0
Anvers,HOBOKEN,51.1840336,4.366389,Anvers,20487868,2660,Ground_Floor,APARTMENT,219500.0,1,73,,2,As new,0,0,1,19,0,,0,0
Saint-Nicolas,LOKEREN,51.111429,3.9856199,Flandre Orientale,20489547,9160,Apartment,APARTMENT,240000.0,2,86,,2,Good,0,0,0,,1,7,0,0
Bruxelles,Anderlecht,50.8385547,4.2924618,Bruxelles,20488989,1070,Apartment,APARTMENT,165000.0,1,55,,2,Good,0,1,0,,0,,0,0
Anvers,ANTWERPEN,51.2228268,4.400516,Anvers,20488660,2000,Apartment,APARTMENT,239000.0,1,62,,3,Good,0,1,0,,0,,0,0
Bruxelles,Anderlecht,50.8263288,4.3044351,Bruxelles,20485701,1070,Apartment,APARTMENT,240000.0,3,90,,2,As new,0,0,0,,1,10,0,0
Anvers,DEURNE,51.2032898,4.4702192,Anvers,20480153,2100,Apartment,APARTMENT,289000.0,2,116,,2,Good,0,1,0,,1,12,0,0
Anvers,WILRIJK,51.1717531,4.3829424,Anvers,20487441,2610,Apartment,APARTMENT,245000.0,2,88,,2,Good,0,0,0,,1,6,0,0
Malines,MECHELEN,51.0350994,4.4728474,Anvers,20487691,2800,Apartment,APARTMENT,261000.0,2,90,,2,Just renovated,0,1,0,,1,7,0,0
Anvers,DEURNE,51.233509,4.4652554,Anvers,20484288,2100,Apartment,APARTMENT,235000.0,3,86,,2,Good,0,0,0,,1,4,0,0
Anvers,BRASSCHAAT,51.3051244,4.4856527,Anvers,20487665,2930,Ground_Floor,APARTMENT,234000.0,2,64,,2,Good,0,1,0,,0,,0,0
Saint-Nicolas,LOKEREN,51.1052668,3.961169,Flandre Orientale,20489546,9160,Apartment,APARTMENT,249000.0,2,62,,2,Good,0,1,0,,1,3,0,0
Anvers,DEURNE,51.23087719999999,4.4807418,Anvers,20488467,2100,Apartment,APARTMENT,279000.0,2,117,,2,To be done up,0,0,0,,1,48,0,0
Anvers,BORGERHOUT,51.209232,4.4481263,Anvers,20482375,2140,Apartment,APARTMENT,185000.0,1,75,,2,Good,0,1,0,,1,10,0,0
Anvers,BERCHEM,51.1853172,4.4404271,Anvers,20480761,2600,Apartment,APARTMENT,195000.0,1,74,,,Good,0,1,0,,1,12,0,0
Ostende,Oostende,51.228807,2.9100909,Flandre Occidentale,20486341,8400,Apartment,APARTMENT,215000.0,2,79,,,To renovate,0,0,0,,1,4,0,0
Liège,LIÈGE,50.6268272,5.588917299999999,Liège,20484515,4020,Apartment,APARTMENT,150000.0,2,85,,2,To be done up,0,1,0,,1,10,0,0
Bruxelles,Schaerbeek,50.84620810000001,4.3991874,Bruxelles,20483836,1030,Flat_Studio,APARTMENT,229000.0,1,43,,2,As new,0,1,0,,0,,0,0
Turnhout,VOSSELAAR,51.3071372,4.8900462,Anvers,20484872,2350,Apartment,APARTMENT,239000.0,2,136,,4,Good,0,0,0,,0,,0,0
Bruxelles,Schaerbeek,50.84620810000001,4.3991874,Bruxelles,20483956,1030,Duplex,APARTMENT,259000.0,1,62,,2,As new,0,1,0,,0,,0,0
Courtrai,Otegem,50.8083629,3.4228405,Flandre Occidentale,20488096,8553,Apartment,APARTMENT,195000.0,3,120,,,To be done up,0,0,0,,0,,0,0
Anvers,HOBOKEN,51.1850919,4.3687345,Anvers,20488284,2660,Apartment,APARTMENT,219000.0,3,85,,2,Good,0,1,0,,1,8,0,0
Anvers,BORGERHOUT,51.2200806,4.4528116,Anvers,20483114,2140,Flat_Studio,APARTMENT,139900.0,1,40,,2,To be done up,0,0,0,,1,8,0,0
Anvers,BORGERHOUT,51.2200806,4.4528116,Anvers,20483115,2140,Apartment,APARTMENT,174900.0,2,80,,2,Good,0,0,0,,1,17,0,0
Anvers,WILRIJK,51.1782659,4.4271058,Anvers,20480787,2610,Ground_Floor,APARTMENT,275000.0,3,114,,,To renovate,0,0,1,26,0,,0,0
Malines,MECHELEN,50.9999455,4.4734069,Anvers,20479122,2800,Apartment,APARTMENT,299000.0,2,130,,2,Good,0,1,0,,1,13,0,0
Alost,NINOVE,50.8305519,4.0643365,Flandre Orientale,20480623,9400,Apartment,APARTMENT,299000.0,3,153,,2,Good,0,1,0,,1,6,0,0
Anvers,BERCHEM,51.18635399999999,4.4424231,Anvers,20485654,2600,Apartment,APARTMENT,219000.0,1,60,,4,Good,0,1,0,,1,14,0,0
Bruxelles,Anderlecht,50.8331641,4.2917801,Bruxelles,20485693,1070,Apartment,APARTMENT,290000.0,2,108,,2,As new,0,0,0,,0,,0,0
Anvers,BERCHEM,51.1850075,4.4430934,Anvers,20480762,2600,Apartment,APARTMENT,189000.0,1,60,,,Good,0,0,0,,1,15,0,0
Ostende,Oostende,51.22388720000001,2.9091672,Flandre Occidentale,20486465,8400,Apartment,APARTMENT,189000.0,1,75,,,Good,0,0,0,,1,2,0,0
Bruxelles,KOEKELBERG,50.8622542,4.3156753,Bruxelles,20478732,1081,Apartment,APARTMENT,299000.0,3,122,,2,Good,0,0,0,,1,7,0,0
Bruxelles,WOLUWE-SAINT-PIERRE,50.8318343,4.4437761,Bruxelles,20486580,1150,Apartment,APARTMENT,290000.0,1,60,,2,As new,0,1,0,,1,13,0,0
Louvain,TIENEN,50.8134284,4.9355509,Brabant Flamand,20477502,3300,Apartment,APARTMENT,175000.0,2,81,,4,To renovate,0,0,0,,1,22,0,0
Bruxelles,Etterbeek,50.8303977,4.3909288,Bruxelles,20485477,1040,Apartment,APARTMENT,185000.0,1,52,,2,To be done up,0,0,0,,0,,0,0
Anvers,ANTWERPEN,51.2094047,4.4299149,Anvers,20484753,2018,Apartment,APARTMENT,299000.0,2,87,,2,Just renovated,0,1,0,,1,4,0,0
Audenarde,Kruishoutem,50.90615469999999,3.5285111,Flandre Orientale,20487317,9770,Apartment,APARTMENT,184000.0,1,65,,2,Good,0,0,0,,0,,0,0
Liège,Chaudfontaine,50.5866476,5.650157099999999,Liège,20487671,4050,Apartment,APARTMENT,218500.0,2,106,,2,Good,0,1,1,930,1,43,0,0
Hal-Vilvorde,Beersel,50.7452743,4.2759311,Brabant Flamand,20488372,1654,Apartment,APARTMENT,275000.0,2,100,,,To be done up,0,1,0,,1,13,0,0
Anvers,BERCHEM,51.18997479999999,4.4226221,Anvers,20481281,2018,Apartment,APARTMENT,289000.0,2,90,,2,Just renovated,0,1,0,,1,15,0,0
Bruxelles,Anderlecht,50.8298169,4.3171824,Bruxelles,20479688,1070,Apartment,APARTMENT,280000.0,2,95,,4,Good,0,1,0,,1,12,0,0
Malines,MECHELEN,51.00874080000001,4.4729394,Anvers,20498107,2800,Apartment,APARTMENT,185000.0,1,73,,3,Good,0,0,0,,1,27,0,0
Malines,MECHELEN,51.0368216,4.471159699999999,Anvers,20498066,2800,Apartment,APARTMENT,249000.0,1,59,,2,Good,0,0,0,,0,,1,0
Turnhout,TURNHOUT,51.32004149999999,4.9191537,Anvers,20493295,2300,Apartment,APARTMENT,220000.0,2,78,,2,Just renovated,0,1,0,,0,,0,0
Bruxelles,Molenbeek-Saint-Jean,50.847845,4.297915199999999,Bruxelles,20485688,1080,Ground_Floor,APARTMENT,184950.0,1,55,,2,Just renovated,0,0,0,,0,,0,0
Anvers,ANTWERPEN,51.2140888,4.4006224,Anvers,20500692,2000,Apartment,APARTMENT,225000.0,1,48,,2,To be done up,0,1,0,,0,,0,0
Anvers,ANTWERPEN,51.2142097,4.4001715,Anvers,20485745,2000,Ground_Floor,APARTMENT,265000.0,1,60,,2,To be done up,0,1,1,24,0,,0,0
Anvers,Wilrijk,51.1772555,4.3825091,Anvers,20497746,2610,Apartment,APARTMENT,219500.0,1,68,,2,Just renovated,0,1,0,,0,,0,0
Anvers,WILRIJK,51.1768934,4.4290202,Anvers,20482829,2610,Apartment,APARTMENT,235000.0,2,90,,2,To be done up,0,0,0,,1,9,0,0
Furnes,NIEUWPOORT,51.1451143,2.7108908,Flandre Occidentale,20480820,8620,Apartment,APARTMENT,280000.0,2,70,,4,Good,0,0,0,,0,,0,0
Hasselt,HASSELT,50.9395436,5.308928799999999,Limbourg,20499263,3511,Apartment,APARTMENT,280000.0,2,89,,,Good,0,0,0,,1,49,0,0
Anvers,WOMMELGEM,51.21281459999999,4.4961255,Anvers,20493770,2160,Apartment,APARTMENT,289000.0,3,93,,3,Good,0,1,0,,0,,0,0
